Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
6552,A,Orban G.,Verona,46,,,3.067,15,15,0,46,,,,,,,,,,,,,,,,,,,
647,A,Dzeko,Fiorentina,39,,,3.000,14,15,-1,42,,,,,,,,,,,,,,,,,,,
4923,A,Colombo,Genoa,38,15,26.0,4.100,10,11,-1,41,37,26,2233,24.8,6,2,8,5,1,1,5,1,5.9,5.1,2.9,8.0,27,48,116
6669,A,Bonny,Inter,34,46,-9.0,5.286,7,5,2,37,37,30,2529,28.1,6,4,10,4,2,3,2,0,9.4,7.1,2.9,9.9,41,53,163
2489,A,Pedro,Lazio,35,57,-22.0,2.692,13,13,0,35,30,6,1102,12.2,10,1,11,8,2,2,2,0,5.3,3.8,1.7,5.4,48,76,89
479,A,Sanabria,Cremonese,32,10,25.0,5.000,7,6,1,35,26,16,1318,14.6,2,1,3,2,0,1,2,0,2.9,2.1,0.5,2.6,6,18,54
7128,A,Kuhn,Como,38,,,2.357,14,15,-1,33,,,,,,,,,,,,,,,,,,,
7252,A,Stulic,Lecce,31,,,2.385,13,13,0,31,,,,,,,,,,,,,,,,,,,
7249,A,Buksa,Udinese,31,,,3.444,9,9,0,31,,,,,,,,,,,,,,,,,,,
7017,A,Douvikas,Como,27,26,4.0,3.750,8,7,1,30,13,6,580,6.4,2,2,4,2,0,0,1,0,2.5,2.5,1.1,3.7,8,6,36
5336,A,Nzola,Pisa,25,,,2.333,12,12,0,28,,,,,,,,,,,,,,,,,,,
2061,A,Simeone,Torino,24,7,20.0,3.857,7,7,0,27,30,1,419,4.7,1,1,2,1,0,0,1,0,2.6,2.6,0.8,3.4,11,7,30
