Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
5761,C,Zhegrova,Juventus,80,,,4.211,19,19,0,80,,,,,,,,,,,,,,,,,,,
2765,C,Odgaard,Bologna,67,46,21.0,4.786,14,15,-1,67,29,24,1952,21.7,6,1,7,6,0,0,1,0,3.6,3.6,1.8,5.4,35,50,99
536,C,Politano,Napoli,65,70,-5.0,4.333,15,14,1,65,37,34,2804,31.2,3,4,7,3,0,0,3,0,3.1,3.1,4.8,7.9,135,129,278
4220,C,Zambo Anguissa,Napoli,73,92,-29.0,3.706,17,16,1,63,35,32,2852,31.7,6,4,10,6,0,0,5,0,4.4,4.4,2.4,6.8,24,144,119
5562,C,Thuram K.,Juventus,67,53,4.0,3.353,17,17,0,57,35,26,2326,25.8,4,5,9,4,0,0,5,0,3.5,3.5,3.6,7.1,74,123,52
1870,C,Barella,Inter,55,55,0.0,3.929,14,14,0,55,33,29,2493,27.7,3,6,9,3,0,0,4,0,2.2,2.2,4.5,6.7,63,235,133
2670,C,Bailey,Roma,51,,,3.643,14,15,-1,51,,,,,,,,,,,,,,,,,,,
827,C,Locatelli,Juventus,55,34,16.0,3.571,14,13,1,50,36,34,2822,31.4,2,2,4,1,1,1,9,0,1.8,1.0,2.5,3.5,33,294,33
6844,C,Rowe,Bologna,49,,,3.500,14,14,0,49,,,,,,,,,,,,,,,,,,,
5792,C,Ederson D.S.,Atalanta,47,,,2.800,15,16,-1,42,,,,,,,,,,,,,,,,,,,
2606,C,Modric,Milan,42,,,3.231,13,12,1,42,,,,,,,,,,,,,,,,,,,
5589,C,Konè M.,Roma,46,,,2.733,15,15,0,41,,,,,,,,,,,,,,,,,,,
5318,C,Tramoni M.,Pisa,41,,,3.417,12,12,0,41,,,,,,,,,,,,,,,,,,,
4892,C,Saelemaekers,Milan,43,72,-32.0,2.857,14,14,0,40,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,4,13
5687,C,Vlasic,Torino,36,48,-9.0,3.000,13,14,-1,39,,,,,,,,,,,,,,,,,,,
6218,C,Oristanio,Parma,38,26,12.0,3.167,12,12,0,38,37,29,2315,25.7,3,3,6,3,0,0,3,0,4.1,4.1,2.6,6.8,72,64,131
6398,C,Isaksen,Lazio,38,31,7.0,2.923,13,14,-1,38,37,29,2210,24.6,4,2,6,4,0,0,5,0,5.2,5.2,2.1,7.3,95,46,249
2848,C,Frattesi,Inter,37,27,10.0,2.846,13,14,-1,37,28,9,1225,13.6,5,1,6,5,0,0,1,0,4.0,4.0,0.8,4.8,23,31,50
6666,C,Bernabè,Parma,36,,,3.273,11,11,0,36,,,,,,,,,,,,,,,,,,,
7133,C,Vandeputte,Cremonese,36,,,2.769,13,12,1,36,,,,,,,,,,,,,,,,,,,
5685,C,Koopmeiners,Juventus,35,35,0.0,2.500,14,14,0,35,28,23,1994,22.2,3,3,6,3,0,0,3,0,3.8,3.8,2.9,6.7,32,89,127
5561,C,Stengs,Pisa,35,,,3.182,11,11,0,35,,,,,,,,,,,,,,,,,,,
2529,C,Mkhitaryan,Inter,35,26,9.0,3.889,9,9,0,35,32,30,2396,26.6,1,4,5,1,0,0,4,0,1.5,1.5,2.7,4.2,72,199,93
5319,C,Sohm,Fiorentina,34,28,6.0,3.091,11,12,-1,34,37,36,2989,33.2,4,0,4,4,0,0,6,0,3.1,3.1,2.1,5.2,69,140,67
5559,C,Da Cunha,Como,36,36,-3.0,2.538,13,13,0,33,36,30,2613,29.0,3,2,5,3,0,0,4,0,2.0,2.0,3.8,5.8,63,154,85
22,C,De Roon,Atalanta,37,43,-11.0,2.462,13,13,0,32,36,34,3058,34.0,4,4,8,4,0,0,5,0,0.9,0.9,2.3,3.2,37,242,32
6908,C,Atta,Udinese,32,13,19.0,4.000,8,6,2,32,27,12,1251,13.9,0,1,1,0,0,0,5,0,1.3,1.3,1.4,2.8,31,57,77
6722,C,Gronbaek,Genoa,32,,,2.909,11,12,-1,32,,,,,,,,,,,,,,,,,,,
6629,C,Dele-Bashiru,Lazio,31,17,14.0,2.818,11,11,0,31,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57
4686,C,Fofana Y.,Milan,36,21,10.0,2.583,12,12,0,31,35,29,2504,27.8,1,6,7,1,0,0,5,0,1.3,1.3,3.4,4.7,44,176,32
6831,C,Neres,Napoli,33,38,-8.0,2.308,13,13,0,30,28,13,1283,14.3,2,4,6,2,0,0,1,0,2.7,2.7,3.5,6.2,73,32,143
1933,C,Mandragora,Fiorentina,35,43,-13.0,2.000,15,14,1,30,29,22,1931,21.5,4,3,7,3,1,1,7,0,2.7,1.9,4.8,6.6,11,92,34
6106,C,Carboni V.,Genoa,29,,,2.636,11,11,0,29,26,25,2191,24.3,0,1,1,0,0,0,5,0,0.3,0.3,0.3,0.6,9,51,32
5888,C,Casadei,Torino,28,24,4.0,2.333,12,12,0,28,15,13,1017,11.3,1,1,2,1,0,0,1,0,1.2,1.2,0.4,1.5,14,36,12
5998,C,Zerbin,Cremonese,31,20,8.0,5.600,5,3,2,28,18,17,1518,16.9,1,1,2,1,0,0,4,0,1.9,1.9,2.1,3.9,53,54,70
2077,C,Pasalic,Atalanta,28,27,1.0,2.545,11,9,2,28,,,,,,,,,,,,,,,,,,,
